City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Tilichiki,RU,60.4667,166.1,53.15,84,80,5.93,broken clouds
310,Aykhal,RU,66.0,111.5,63.19,72,12,16.51,few clouds
311,Grand Gaube,MU,-20.0064,57.6608,71.38,74,60,4.0,light rain
312,Huarmey,PE,-10.0681,-78.1522,67.84,73,0,10.69,clear sky
313,Saint-Francois,FR,46.4154,3.9054,63.18,94,90,10.36,overcast clouds
314,Port Augusta,AU,-32.5,137.7667,48.34,67,100,12.12,overcast clouds
315,Neryungri,RU,56.6709,124.6491,59.58,84,40,2.71,scattered clouds
316,Cowansville,CA,45.2001,-72.7491,78.15,64,100,2.3,overcast clouds
317,Abnub,EG,27.2696,31.1511,88.02,22,1,7.02,clear sky
318,Wum,CM,6.3833,10.0667,64.99,98,100,0.85,light rain
319,Havelock,US,34.8791,-76.9013,86.95,77,35,10.0,scattered clouds
320,Xining,CN,36.6167,101.7667,55.08,87,86,2.26,overcast clouds
321,Edd,ER,13.9297,41.6925,92.75,54,99,7.58,overcast clouds
322,General Roca,AR,-39.0333,-67.5833,54.0,39,65,19.46,broken clouds
323,Willowmore,ZA,-33.2926,23.4895,45.75,19,0,4.56,clear sky
324,Ribeira Grande,PT,38.5167,-28.7,67.59,68,56,12.77,broken clouds
325,Hasaki,JP,35.7333,140.8333,75.6,83,7,3.24,clear sky
326,Tecoanapa,MX,16.5167,-98.75,87.3,65,85,10.42,overcast clouds
327,Mashhad,IR,36.297,59.6062,75.34,41,20,4.61,few clouds
328,Khasan,RU,42.4308,130.6434,72.7,97,78,1.23,broken clouds
329,Tinskoy,RU,56.1525,96.9161,60.04,96,51,0.87,broken clouds
330,Kayunga,UG,0.7025,32.8886,61.16,93,83,1.9,broken clouds
331,Pathein,MM,16.7833,94.7333,76.89,92,98,2.33,overcast clouds
332,Dole,FR,47.0833,5.5,62.51,94,75,10.36,broken clouds
333,Manzanillo,CU,20.3433,-77.1167,82.15,73,55,4.63,very heavy rain
334,Andenes,NO,69.3143,16.1194,51.78,87,90,23.02,light rain
335,Dokka,NO,60.84,10.0618,66.94,67,0,4.68,clear sky
336,Kuusamo,FI,65.9667,29.1833,57.24,72,0,6.91,clear sky
337,Itoman,JP,26.1247,127.6694,82.42,78,75,9.22,broken clouds
338,Kiri Buru,IN,22.0833,85.35,75.18,91,100,3.04,overcast clouds
339,Faya,SA,18.3851,42.4509,71.17,39,100,6.44,overcast clouds
340,Magaria,NE,12.9983,8.9099,89.24,46,36,8.52,light rain
341,Alofi,NU,-19.0595,-169.9187,78.69,83,18,17.27,few clouds
342,Miles City,US,46.4083,-105.8406,101.52,14,20,9.22,haze
343,Norman Wells,CA,65.282,-126.8329,68.77,25,40,1.81,scattered clouds
344,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,100,90,2.24,overcast clouds
345,Turayf,SA,31.6725,38.6637,81.37,36,0,14.0,clear sky
346,Jiuquan,CN,39.7432,98.5174,76.37,31,0,5.26,clear sky
347,Yabelo,ET,4.8833,38.0833,63.12,58,100,4.81,overcast clouds
348,Mitu,CO,1.1983,-70.1733,74.48,97,69,3.89,broken clouds
349,Kunming,CN,25.0389,102.7183,62.53,88,0,8.95,clear sky
350,Novi Travnik,BA,44.1711,17.6575,62.02,97,100,3.96,light rain
351,Caravelas,BR,-17.7125,-39.2481,71.8,86,0,7.18,clear sky
352,Nizwa,OM,22.9333,57.5333,79.57,84,99,10.83,overcast clouds
353,Selenginsk,RU,52.0064,106.8647,66.61,97,100,2.01,light rain
354,The Pas,CA,53.8251,-101.2541,78.82,53,90,8.05,haze
355,Caala,AO,-12.8525,15.5606,58.01,36,18,1.32,few clouds
356,Constitucion,CL,-35.3333,-72.4167,49.84,71,6,14.12,clear sky
357,Codrington,AU,-38.2667,141.9667,51.21,82,91,24.07,light rain
358,Kalmunai,LK,7.4167,81.8167,81.1,78,100,4.18,overcast clouds
359,Grants Pass,US,42.439,-123.3284,90.86,24,1,1.01,clear sky
360,Kalabo,ZM,-14.97,22.6814,65.25,44,76,9.57,broken clouds
361,Iqaluit,CA,63.7506,-68.5145,72.7,53,0,15.99,clear sky
362,Caucaia,BR,-3.7361,-38.6531,80.55,76,20,6.91,few clouds
